Electoral Vote Total,Candidate (Party Label),Popular Vote Total,Percent of Popular Vote
271,George W. Bush (Republican),50456002,47.87
266,Al Gore (Democrat),50999897,48.38
0,Ralph Nader (Green),2882955,2.74
0,Patrick J. Buchanan (Reform/Independent),448895,0.42
0,Harry Browne (Libertarian),384431,0.36
0,Howard Phillips (Constitution),98020,0.09
0,John S. Hagelin (Natural Law/Reform/Independent),83714,0.08
0,Write-In (Miscellaneous),20767,0.02
0,"James E. Harris, Jr. (Socialist Workers)",7378,0.01
0,L. Neil Smith (Libertarian),5775,0.00
0,David McReynolds (Socialist),5602,0.00
0,Monica Moorehead (Workers World),4795,0.00
0,None of These Candidates (Nevada),3315,0.00
0,Cathy Gordon Brown (Independent),1606,0.00
0,Denny Lane (Vermont Grassroots),1044,0.00
0,Randall Venson (Independent),535,0.00
0,Earl F. Dodge (Prohibition),208,0.00
0,Louie G. Youngkeit (Independent),161,0.00
